reviewer_name,review_date,review_content,lowercased,urls_removed,punctuation_removed,numbers_removed,extra_spaces_removed,stopwords_removed,lemmatized,tokenized
Mohamed S,12/25/2026,Good stuff and beautiful hotel Clean rooms Fantastic food ?? And nearest from haram am happy to stayed here ?? Thank you ?? Value Rooms Location Cleanliness Service Sleep Quality,good stuff and beautiful hotel clean rooms fantastic food ?? and nearest from haram am happy to stayed here ?? thank you ?? value rooms location cleanliness service sleep quality,good stuff and beautiful hotel clean rooms fantastic food ?? and nearest from haram am happy to stayed here ?? thank you ?? value rooms location cleanliness service sleep quality,good stuff and beautiful hotel clean rooms fantastic food ?? and nearest from haram am happy to stayed here ?? thank you ?? value rooms location cleanliness service sleep quality,good stuff and beautiful hotel clean rooms fantastic food ?? and nearest from haram am happy to stayed here ?? thank you ?? value rooms location cleanliness service sleep quality,good stuff and beautiful hotel clean rooms fantastic food ?? and nearest from haram am happy to stayed here ?? thank you ?? value rooms location cleanliness service sleep quality,good stuff beautiful hotel clean rooms fantastic food ?? nearest haram happy stayed ?? thank ?? value rooms location cleanliness service sleep quality,good stuff beautiful hotel clean room fantastic food ?? near haram happy stay ?? thank ?? value room location cleanliness service sleep quality,"['good', 'stuff', 'beautiful', 'hotel', 'clean', 'room', 'fantastic', 'food', '??', 'near', 'haram', 'happy', 'stay', '??', 'thank', '??', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
harrathi e,12/25/2026,"Nice experience. We stayed in mariott jabal omar. The hotel is very well located a few meters from the masjid haram. The hotel offers two types of transport a bus and car golf that take turns on the 24 hours. Breakfast is varied and hearty it is several specialities. The spacious and luxurious rooms... A special thank you to all the teams , housekeeping and agents on site who ensured the comfort. Special thank you a mme taif (???) For his professionalism his kindness and benevolence .... Thank you for all you contributed to our happiness and very soon makkah...","nice experience. we stayed in mariott jabal omar. the hotel is very well located a few meters from the masjid haram. the hotel offers two types of transport a bus and car golf that take turns on the 24 hours. breakfast is varied and hearty it is several specialities. the spacious and luxurious rooms... a special thank you to all the teams , housekeeping and agents on site who ensured the comfort. special thank you a mme taif (???) for his professionalism his kindness and benevolence .... thank you for all you contributed to our happiness and very soon makkah...","nice experience. we stayed in mariott jabal omar. the hotel is very well located a few meters from the masjid haram. the hotel offers two types of transport a bus and car golf that take turns on the 24 hours. breakfast is varied and hearty it is several specialities. the spacious and luxurious rooms... a special thank you to all the teams , housekeeping and agents on site who ensured the comfort. special thank you a mme taif (???) for his professionalism his kindness and benevolence .... thank you for all you contributed to our happiness and very soon makkah...",nice experience we stayed in mariott jabal omar the hotel is very well located a few meters from the masjid haram the hotel offers two types of transport a bus and car golf that take turns on the 24 hours breakfast is varied and hearty it is several specialities the spacious and luxurious rooms a special thank you to all the teams  housekeeping and agents on site who ensured the comfort special thank you a mme taif ??? for his professionalism his kindness and benevolence  thank you for all you contributed to our happiness and very soon makkah,nice experience we stayed in mariott jabal omar the hotel is very well located a few meters from the masjid haram the hotel offers two types of transport a bus and car golf that take turns on the  hours breakfast is varied and hearty it is several specialities the spacious and luxurious rooms a special thank you to all the teams  housekeeping and agents on site who ensured the comfort special thank you a mme taif ??? for his professionalism his kindness and benevolence  thank you for all you contributed to our happiness and very soon makkah,nice experience we stayed in mariott jabal omar the hotel is very well located a few meters from the masjid haram the hotel offers two types of transport a bus and car golf that take turns on the hours breakfast is varied and hearty it is several specialities the spacious and luxurious rooms a special thank you to all the teams housekeeping and agents on site who ensured the comfort special thank you a mme taif ??? for his professionalism his kindness and benevolence thank you for all you contributed to our happiness and very soon makkah,nice experience stayed mariott jabal omar hotel well located meters masjid haram hotel offers two types transport bus car golf take turns hours breakfast varied hearty several specialities spacious luxurious rooms special thank teams housekeeping agents site ensured comfort special thank mme taif ??? professionalism kindness benevolence thank contributed happiness soon makkah,nice experience stay mariott jabal omar hotel well located meter masjid haram hotel offer two type transport bus car golf take turn hour breakfast vary hearty several speciality spacious luxurious room special thank team housekeep agent site ensure comfort special thank mme taif ??? professionalism kindness benevolence thank contribute happiness soon makkah,"['nice', 'experience', 'stay', 'mariott', 'jabal', 'omar', 'hotel', 'well', 'located', 'meter', 'masjid', 'haram', 'hotel', 'offer', 'two', 'type', 'transport', 'bus', 'car', 'golf', 'take', 'turn', 'hour', 'breakfast', 'vary', 'hearty', 'several', 'speciality', 'spacious', 'luxurious', 'room', 'special', 'thank', 'team', 'housekeep', 'agent', 'site', 'ensure', 'comfort', 'special', 'thank', 'mme', 'taif', '???', 'professionalism', 'kindness', 'benevolence', 'thank', 'contribute', 'happiness', 'soon', 'makkah']"
alayyad7,12/25/2026,"Everything was beautiful at the hotel, clean service and restaurants were honest. Everything was beautiful and I loved the receptionist Mr. Yasir who had received him from the beginning was great opposite seeing us in the right place Value Rooms Location Cleanliness Service Sleep Quality","everything was beautiful at the hotel, clean service and restaurants were honest. everything was beautiful and i loved the receptionist mr. yasir who had received him from the beginning was great opposite seeing us in the right place value rooms location cleanliness service sleep quality","everything was beautiful at the hotel, clean service and restaurants were honest. everything was beautiful and i loved the receptionist mr. yasir who had received him from the beginning was great opposite seeing us in the right place value rooms location cleanliness service sleep quality",everything was beautiful at the hotel clean service and restaurants were honest everything was beautiful and i loved the receptionist mr yasir who had received him from the beginning was great opposite seeing us in the right place value rooms location cleanliness service sleep quality,everything was beautiful at the hotel clean service and restaurants were honest everything was beautiful and i loved the receptionist mr yasir who had received him from the beginning was great opposite seeing us in the right place value rooms location cleanliness service sleep quality,everything was beautiful at the hotel clean service and restaurants were honest everything was beautiful and i loved the receptionist mr yasir who had received him from the beginning was great opposite seeing us in the right place value rooms location cleanliness service sleep quality,everything beautiful hotel clean service restaurants honest everything beautiful loved receptionist mr yasir received beginning great opposite seeing us right place value rooms location cleanliness service sleep quality,everything beautiful hotel clean service restaurant honest everything beautiful love receptionist mr yasir receive begin great opposite see u right place value room location cleanliness service sleep quality,"['everything', 'beautiful', 'hotel', 'clean', 'service', 'restaurant', 'honest', 'everything', 'beautiful', 'love', 'receptionist', 'mr', 'yasir', 'receive', 'begin', 'great', 'opposite', 'see', 'u', 'right', 'place', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
Voyage01073152903,12/25/2026,"Thank you for your hospitality and welcome Thank you Mohamed Sameer for your welcome Despite the tiredness of smiles and hospitality, my family was happy. Value Rooms Location Cleanliness Service Sleep Quality","thank you for your hospitality and welcome thank you mohamed sameer for your welcome despite the tiredness of smiles and hospitality, my family was happy. value rooms location cleanliness service sleep quality","thank you for your hospitality and welcome thank you mohamed sameer for your welcome despite the tiredness of smiles and hospitality, my family was happy. value rooms location cleanliness service sleep quality",thank you for your hospitality and welcome thank you mohamed sameer for your welcome despite the tiredness of smiles and hospitality my family was happy value rooms location cleanliness service sleep quality,thank you for your hospitality and welcome thank you mohamed sameer for your welcome despite the tiredness of smiles and hospitality my family was happy value rooms location cleanliness service sleep quality,thank you for your hospitality and welcome thank you mohamed sameer for your welcome despite the tiredness of smiles and hospitality my family was happy value rooms location cleanliness service sleep quality,thank hospitality welcome thank mohamed sameer welcome despite tiredness smiles hospitality family happy value rooms location cleanliness service sleep quality,thank hospitality welcome thank mohamed same welcome despite tiredness smile hospitality family happy value room location cleanliness service sleep quality,"['thank', 'hospitality', 'welcome', 'thank', 'mohamed', 'same', 'welcome', 'despite', 'tiredness', 'smile', 'hospitality', 'family', 'happy', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
Ronnie,12/25/2026,"Stayed for 4 days for Umrah. Excellent hotel, Rooms and bathroom very clean and spacious. Great proximity to Masjid Haram with shuttle buses and golf cars. Check In was smooth with very courteous staff. Highly recommended and will definitely come back again","stayed for 4 days for umrah. excellent hotel, rooms and bathroom very clean and spacious. great proximity to masjid haram with shuttle buses and golf cars. check in was smooth with very courteous staff. highly recommended and will definitely come back again","stayed for 4 days for umrah. excellent hotel, rooms and bathroom very clean and spacious. great proximity to masjid haram with shuttle buses and golf cars. check in was smooth with very courteous staff. highly recommended and will definitely come back again",stayed for 4 days for umrah excellent hotel rooms and bathroom very clean and spacious great proximity to masjid haram with shuttle buses and golf cars check in was smooth with very courteous staff highly recommended and will definitely come back again,stayed for  days for umrah excellent hotel rooms and bathroom very clean and spacious great proximity to masjid haram with shuttle buses and golf cars check in was smooth with very courteous staff highly recommended and will definitely come back again,stayed for days for umrah excellent hotel rooms and bathroom very clean and spacious great proximity to masjid haram with shuttle buses and golf cars check in was smooth with very courteous staff highly recommended and will definitely come back again,stayed days umrah excellent hotel rooms bathroom clean spacious great proximity masjid haram shuttle buses golf cars check smooth courteous staff highly recommended definitely come back,stayed day umrah excellent hotel room bathroom clean spacious great proximity masjid haram shuttle bus golf car check smooth courteous staff highly recommend definitely come back,"['stayed', 'day', 'umrah', 'excellent', 'hotel', 'room', 'bathroom', 'clean', 'spacious', 'great', 'proximity', 'masjid', 'haram', 'shuttle', 'bus', 'golf', 'car', 'check', 'smooth', 'courteous', 'staff', 'highly', 'recommend', 'definitely', 'come', 'back']"
Babar W,11/25/2026,Had a wonderful experience at the Marriott buffet. The staff were welcoming and Rafah stood out with her warm and professional service. She made the whole visit feel special and I really appreciated her hospitality. Value Rooms Location Cleanliness Service Sleep Quality,had a wonderful experience at the marriott buffet. the staff were welcoming and rafah stood out with her warm and professional service. she made the whole visit feel special and i really appreciated her hospitality. value rooms location cleanliness service sleep quality,had a wonderful experience at the marriott buffet. the staff were welcoming and rafah stood out with her warm and professional service. she made the whole visit feel special and i really appreciated her hospitality. value rooms location cleanliness service sleep quality,had a wonderful experience at the marriott buffet the staff were welcoming and rafah stood out with her warm and professional service she made the whole visit feel special and i really appreciated her hospitality value rooms location cleanliness service sleep quality,had a wonderful experience at the marriott buffet the staff were welcoming and rafah stood out with her warm and professional service she made the whole visit feel special and i really appreciated her hospitality value rooms location cleanliness service sleep quality,had a wonderful experience at the marriott buffet the staff were welcoming and rafah stood out with her warm and professional service she made the whole visit feel special and i really appreciated her hospitality value rooms location cleanliness service sleep quality,wonderful experience marriott buffet staff welcoming rafah stood warm professional service made whole visit feel special really appreciated hospitality value rooms location cleanliness service sleep quality,wonderful experience marriott buffet staff welcome rafah stand warm professional service make whole visit feel special really appreciated hospitality value room location cleanliness service sleep quality,"['wonderful', 'experience', 'marriott', 'buffet', 'staff', 'welcome', 'rafah', 'stand', 'warm', 'professional', 'service', 'make', 'whole', 'visit', 'feel', 'special', 'really', 'appreciated', 'hospitality', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
Shaikha B,11/25/2026,"Thank you Ali Pinsai and Semir Mohamed for welcoming and hospiting the olive dining restaurant at Jebel Omar Makkah Marriott.... The duty...7 star reception and service wish you good luck and God's joy The hotel is beautiful....just hard for seniors, chronic patients and disabled people it''s located .In a mountain area Thank you so much for all of your travels...out of duty Stayed 25-29 November 2025 Value Rooms Location Cleanliness Service Sleep Quality","thank you ali pinsai and semir mohamed for welcoming and hospiting the olive dining restaurant at jebel omar makkah marriott.... the duty...7 star reception and service wish you good luck and god's joy the hotel is beautiful....just hard for seniors, chronic patients and disabled people it''s located .in a mountain area thank you so much for all of your travels...out of duty stayed 25-29 november 2025 value rooms location cleanliness service sleep quality","thank you ali pinsai and semir mohamed for welcoming and hospiting the olive dining restaurant at jebel omar makkah marriott.... the duty...7 star reception and service wish you good luck and god's joy the hotel is beautiful....just hard for seniors, chronic patients and disabled people it''s located .in a mountain area thank you so much for all of your travels...out of duty stayed 25-29 november 2025 value rooms location cleanliness service sleep quality",thank you ali pinsai and semir mohamed for welcoming and hospiting the olive dining restaurant at jebel omar makkah marriott the duty7 star reception and service wish you good luck and gods joy the hotel is beautifuljust hard for seniors chronic patients and disabled people its located in a mountain area thank you so much for all of your travelsout of duty stayed 2529 november 2025 value rooms location cleanliness service sleep quality,thank you ali pinsai and semir mohamed for welcoming and hospiting the olive dining restaurant at jebel omar makkah marriott the duty star reception and service wish you good luck and gods joy the hotel is beautifuljust hard for seniors chronic patients and disabled people its located in a mountain area thank you so much for all of your travelsout of duty stayed  november  value rooms location cleanliness service sleep quality,thank you ali pinsai and semir mohamed for welcoming and hospiting the olive dining restaurant at jebel omar makkah marriott the duty star reception and service wish you good luck and gods joy the hotel is beautifuljust hard for seniors chronic patients and disabled people its located in a mountain area thank you so much for all of your travelsout of duty stayed november value rooms location cleanliness service sleep quality,thank ali pinsai semir mohamed welcoming hospiting olive dining restaurant jebel omar makkah marriott duty star reception service wish good luck gods joy hotel beautifuljust hard seniors chronic patients disabled people located mountain area thank much travelsout duty stayed november value rooms location cleanliness service sleep quality,thank ali pinsai semir mohamed welcome hospiting olive dining restaurant jebel omar makkah marriott duty star reception service wish good luck god joy hotel beautifuljust hard senior chronic patient disabled people locate mountain area thank much travelsout duty stay november value room location cleanliness service sleep quality,"['thank', 'ali', 'pinsai', 'semir', 'mohamed', 'welcome', 'hospiting', 'olive', 'dining', 'restaurant', 'jebel', 'omar', 'makkah', 'marriott', 'duty', 'star', 'reception', 'service', 'wish', 'good', 'luck', 'god', 'joy', 'hotel', 'beautifuljust', 'hard', 'senior', 'chronic', 'patient', 'disabled', 'people', 'locate', 'mountain', 'area', 'thank', 'much', 'travelsout', 'duty', 'stay', 'november', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
Noura A,11/25/2026,"Great deal, great service The perfume is delicious, diverse, and Saudi youth Cool, helpful, and very helpful Thank you for your welcoming and helpful visitors Value Rooms Location Cleanliness Service Sleep Quality","great deal, great service the perfume is delicious, diverse, and saudi youth cool, helpful, and very helpful thank you for your welcoming and helpful visitors value rooms location cleanliness service sleep quality","great deal, great service the perfume is delicious, diverse, and saudi youth cool, helpful, and very helpful thank you for your welcoming and helpful visitors value rooms location cleanliness service sleep quality",great deal great service the perfume is delicious diverse and saudi youth cool helpful and very helpful thank you for your welcoming and helpful visitors value rooms location cleanliness service sleep quality,great deal great service the perfume is delicious diverse and saudi youth cool helpful and very helpful thank you for your welcoming and helpful visitors value rooms location cleanliness service sleep quality,great deal great service the perfume is delicious diverse and saudi youth cool helpful and very helpful thank you for your welcoming and helpful visitors value rooms location cleanliness service sleep quality,great deal great service perfume delicious diverse saudi youth cool helpful helpful thank welcoming helpful visitors value rooms location cleanliness service sleep quality,great deal great service perfume delicious diverse saudi youth cool helpful helpful thank welcome helpful visitor value room location cleanliness service sleep quality,"['great', 'deal', 'great', 'service', 'perfume', 'delicious', 'diverse', 'saudi', 'youth', 'cool', 'helpful', 'helpful', 'thank', 'welcome', 'helpful', 'visitor', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
os A,11/25/2026,"Thank you, Professor Amfid, for his warm hospitality and nice reception. He helped me a lot and loved my experience with you so God is happy to serve you back??????","thank you, professor amfid, for his warm hospitality and nice reception. he helped me a lot and loved my experience with you so god is happy to serve you back??????","thank you, professor amfid, for his warm hospitality and nice reception. he helped me a lot and loved my experience with you so god is happy to serve you back??????",thank you professor amfid for his warm hospitality and nice reception he helped me a lot and loved my experience with you so god is happy to serve you back??????,thank you professor amfid for his warm hospitality and nice reception he helped me a lot and loved my experience with you so god is happy to serve you back??????,thank you professor amfid for his warm hospitality and nice reception he helped me a lot and loved my experience with you so god is happy to serve you back??????,thank professor amfid warm hospitality nice reception helped lot loved experience god happy serve back??????,thank professor amfid warm hospitality nice reception help lot love experience god happy serve back??????,"['thank', 'professor', 'amfid', 'warm', 'hospitality', 'nice', 'reception', 'help', 'lot', 'love', 'experience', 'god', 'happy', 'serve', 'back??????']"
Mohammed B,11/25/2026,"Loved my stay at the hotel, was very well taken care of with the best hospitality from brother MOHAMMED NAYEM from concierge.he was very professional,well behaved and took care of our every needs.Will definitely be booking again and will recommend to family and friends. Appreciate the service, thank you. Value Rooms Location Cleanliness Service Sleep Quality","loved my stay at the hotel, was very well taken care of with the best hospitality from brother mohammed nayem from concierge.he was very professional,well behaved and took care of our every needs.will definitely be booking again and will recommend to family and friends. appreciate the service, thank you. value rooms location cleanliness service sleep quality","loved my stay at the hotel, was very well taken care of with the best hospitality from brother mohammed nayem from concierge.he was very professional,well behaved and took care of our every needs.will definitely be booking again and will recommend to family and friends. appreciate the service, thank you. value rooms location cleanliness service sleep quality",loved my stay at the hotel was very well taken care of with the best hospitality from brother mohammed nayem from conciergehe was very professionalwell behaved and took care of our every needswill definitely be booking again and will recommend to family and friends appreciate the service thank you value rooms location cleanliness service sleep quality,loved my stay at the hotel was very well taken care of with the best hospitality from brother mohammed nayem from conciergehe was very professionalwell behaved and took care of our every needswill definitely be booking again and will recommend to family and friends appreciate the service thank you value rooms location cleanliness service sleep quality,loved my stay at the hotel was very well taken care of with the best hospitality from brother mohammed nayem from conciergehe was very professionalwell behaved and took care of our every needswill definitely be booking again and will recommend to family and friends appreciate the service thank you value rooms location cleanliness service sleep quality,loved stay hotel well taken care best hospitality brother mohammed nayem conciergehe professionalwell behaved took care every needswill definitely booking recommend family friends appreciate service thank value rooms location cleanliness service sleep quality,love stay hotel well take care best hospitality brother mohammed nayem conciergehe professionalwell behave take care every needswill definitely book recommend family friend appreciate service thank value room location cleanliness service sleep quality,"['love', 'stay', 'hotel', 'well', 'take', 'care', 'best', 'hospitality', 'brother', 'mohammed', 'nayem', 'conciergehe', 'professionalwell', 'behave', 'take', 'care', 'every', 'needswill', 'definitely', 'book', 'recommend', 'family', 'friend', 'appreciate', 'service', 'thank', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
Faisal A,11/25/2026,"Mr Amjd is one of the most respectful and highly cooperative staff members I have encountered at marriott jabal Omar hotel . His professionalism and courteous manner greatly enhance the guest experience , he prepares exceptional coffee with noticeable quality and attention to detail, He is truly an asset to the hospitality team","mr amjd is one of the most respectful and highly cooperative staff members i have encountered at marriott jabal omar hotel . his professionalism and courteous manner greatly enhance the guest experience , he prepares exceptional coffee with noticeable quality and attention to detail, he is truly an asset to the hospitality team","mr amjd is one of the most respectful and highly cooperative staff members i have encountered at marriott jabal omar hotel . his professionalism and courteous manner greatly enhance the guest experience , he prepares exceptional coffee with noticeable quality and attention to detail, he is truly an asset to the hospitality team",mr amjd is one of the most respectful and highly cooperative staff members i have encountered at marriott jabal omar hotel  his professionalism and courteous manner greatly enhance the guest experience  he prepares exceptional coffee with noticeable quality and attention to detail he is truly an asset to the hospitality team,mr amjd is one of the most respectful and highly cooperative staff members i have encountered at marriott jabal omar hotel  his professionalism and courteous manner greatly enhance the guest experience  he prepares exceptional coffee with noticeable quality and attention to detail he is truly an asset to the hospitality team,mr amjd is one of the most respectful and highly cooperative staff members i have encountered at marriott jabal omar hotel his professionalism and courteous manner greatly enhance the guest experience he prepares exceptional coffee with noticeable quality and attention to detail he is truly an asset to the hospitality team,mr amjd one respectful highly cooperative staff members encountered marriott jabal omar hotel professionalism courteous manner greatly enhance guest experience prepares exceptional coffee noticeable quality attention detail truly asset hospitality team,mr amjd one respectful highly cooperative staff member encounter marriott jabal omar hotel professionalism courteous manner greatly enhance guest experience prepare exceptional coffee noticeable quality attention detail truly asset hospitality team,"['mr', 'amjd', 'one', 'respectful', 'highly', 'cooperative', 'staff', 'member', 'encounter', 'marriott', 'jabal', 'omar', 'hotel', 'professionalism', 'courteous', 'manner', 'greatly', 'enhance', 'guest', 'experience', 'prepare', 'exceptional', 'coffee', 'noticeable', 'quality', 'attention', 'detail', 'truly', 'asset', 'hospitality', 'team']"
Ada L,11/25/2026,"stayed at the Jabal Omar Marriott Hotel in mid-November with friends from all over Bosnia and Herzegovina. The reason was to perform Umrah. The location of the hotel is fantastic. It is only a few minutes walk from the Kaaba, and if you are unable to walk, you can use the free hotel shuttle 24 hours a day. Transportation is provided by small buses from which you can take an elevator to the Haram or by small open cars that drop you off not far from the Haram. The rooms are large, tidy and are maintained every day. The beds are comfortable. The bedding is sparkling white. They have a mini bar, iron, ironing board, hairdryer and clothesline in the bathroom (above the shower). Towels are changed every day and water, coffee and tea are brought. Thank you Bilal for your service. You can hear the call to prayer from the Haram in the room (a special button on the wall). Breakfast is buffet-style and there is something for everyone. There is a wide selection of seafood, freshly prepared eggs in countless ways, cooked dishes (which are not always spicy), at least two soups to choose from, countless sweets, fruit, pudding, detox water, etc. The staff is extremely friendly and helpful. There is a souvenir shop in the lobby that is not overly expensive. There is an option to buy a copy of the Quran that the staff will take to the Haram on your behalf. With the desire to be your guest again, I warmly recommend this hotel.","stayed at the jabal omar marriott hotel in mid-november with friends from all over bosnia and herzegovina. the reason was to perform umrah. the location of the hotel is fantastic. it is only a few minutes walk from the kaaba, and if you are unable to walk, you can use the free hotel shuttle 24 hours a day. transportation is provided by small buses from which you can take an elevator to the haram or by small open cars that drop you off not far from the haram. the rooms are large, tidy and are maintained every day. the beds are comfortable. the bedding is sparkling white. they have a mini bar, iron, ironing board, hairdryer and clothesline in the bathroom (above the shower). towels are changed every day and water, coffee and tea are brought. thank you bilal for your service. you can hear the call to prayer from the haram in the room (a special button on the wall). breakfast is buffet-style and there is something for everyone. there is a wide selection of seafood, freshly prepared eggs in countless ways, cooked dishes (which are not always spicy), at least two soups to choose from, countless sweets, fruit, pudding, detox water, etc. the staff is extremely friendly and helpful. there is a souvenir shop in the lobby that is not overly expensive. there is an option to buy a copy of the quran that the staff will take to the haram on your behalf. with the desire to be your guest again, i warmly recommend this hotel.","stayed at the jabal omar marriott hotel in mid-november with friends from all over bosnia and herzegovina. the reason was to perform umrah. the location of the hotel is fantastic. it is only a few minutes walk from the kaaba, and if you are unable to walk, you can use the free hotel shuttle 24 hours a day. transportation is provided by small buses from which you can take an elevator to the haram or by small open cars that drop you off not far from the haram. the rooms are large, tidy and are maintained every day. the beds are comfortable. the bedding is sparkling white. they have a mini bar, iron, ironing board, hairdryer and clothesline in the bathroom (above the shower). towels are changed every day and water, coffee and tea are brought. thank you bilal for your service. you can hear the call to prayer from the haram in the room (a special button on the wall). breakfast is buffet-style and there is something for everyone. there is a wide selection of seafood, freshly prepared eggs in countless ways, cooked dishes (which are not always spicy), at least two soups to choose from, countless sweets, fruit, pudding, detox water, etc. the staff is extremely friendly and helpful. there is a souvenir shop in the lobby that is not overly expensive. there is an option to buy a copy of the quran that the staff will take to the haram on your behalf. with the desire to be your guest again, i warmly recommend this hotel.",stayed at the jabal omar marriott hotel in midnovember with friends from all over bosnia and herzegovina the reason was to perform umrah the location of the hotel is fantastic it is only a few minutes walk from the kaaba and if you are unable to walk you can use the free hotel shuttle 24 hours a day transportation is provided by small buses from which you can take an elevator to the haram or by small open cars that drop you off not far from the haram the rooms are large tidy and are maintained every day the beds are comfortable the bedding is sparkling white they have a mini bar iron ironing board hairdryer and clothesline in the bathroom above the shower towels are changed every day and water coffee and tea are brought thank you bilal for your service you can hear the call to prayer from the haram in the room a special button on the wall breakfast is buffetstyle and there is something for everyone there is a wide selection of seafood freshly prepared eggs in countless ways cooked dishes which are not always spicy at least two soups to choose from countless sweets fruit pudding detox water etc the staff is extremely friendly and helpful there is a souvenir shop in the lobby that is not overly expensive there is an option to buy a copy of the quran that the staff will take to the haram on your behalf with the desire to be your guest again i warmly recommend this hotel,stayed at the jabal omar marriott hotel in midnovember with friends from all over bosnia and herzegovina the reason was to perform umrah the location of the hotel is fantastic it is only a few minutes walk from the kaaba and if you are unable to walk you can use the free hotel shuttle  hours a day transportation is provided by small buses from which you can take an elevator to the haram or by small open cars that drop you off not far from the haram the rooms are large tidy and are maintained every day the beds are comfortable the bedding is sparkling white they have a mini bar iron ironing board hairdryer and clothesline in the bathroom above the shower towels are changed every day and water coffee and tea are brought thank you bilal for your service you can hear the call to prayer from the haram in the room a special button on the wall breakfast is buffetstyle and there is something for everyone there is a wide selection of seafood freshly prepared eggs in countless ways cooked dishes which are not always spicy at least two soups to choose from countless sweets fruit pudding detox water etc the staff is extremely friendly and helpful there is a souvenir shop in the lobby that is not overly expensive there is an option to buy a copy of the quran that the staff will take to the haram on your behalf with the desire to be your guest again i warmly recommend this hotel,stayed at the jabal omar marriott hotel in midnovember with friends from all over bosnia and herzegovina the reason was to perform umrah the location of the hotel is fantastic it is only a few minutes walk from the kaaba and if you are unable to walk you can use the free hotel shuttle hours a day transportation is provided by small buses from which you can take an elevator to the haram or by small open cars that drop you off not far from the haram the rooms are large tidy and are maintained every day the beds are comfortable the bedding is sparkling white they have a mini bar iron ironing board hairdryer and clothesline in the bathroom above the shower towels are changed every day and water coffee and tea are brought thank you bilal for your service you can hear the call to prayer from the haram in the room a special button on the wall breakfast is buffetstyle and there is something for everyone there is a wide selection of seafood freshly prepared eggs in countless ways cooked dishes which are not always spicy at least two soups to choose from countless sweets fruit pudding detox water etc the staff is extremely friendly and helpful there is a souvenir shop in the lobby that is not overly expensive there is an option to buy a copy of the quran that the staff will take to the haram on your behalf with the desire to be your guest again i warmly recommend this hotel,stayed jabal omar marriott hotel midnovember friends bosnia herzegovina reason perform umrah location hotel fantastic minutes walk kaaba unable walk use free hotel shuttle hours day transportation provided small buses take elevator haram small open cars drop far haram rooms large tidy maintained every day beds comfortable bedding sparkling white mini bar iron ironing board hairdryer clothesline bathroom shower towels changed every day water coffee tea brought thank bilal service hear call prayer haram room special button wall breakfast buffetstyle something everyone wide selection seafood freshly prepared eggs countless ways cooked dishes always spicy least two soups choose countless sweets fruit pudding detox water etc staff extremely friendly helpful souvenir shop lobby overly expensive option buy copy quran staff take haram behalf desire guest warmly recommend hotel,stay jabal omar marriott hotel midnovember friends bosnia herzegovina reason perform umrah location hotel fantastic minute walk kaaba unable walk use free hotel shuttle hour day transportation provide small bus take elevator haram small open car drop far haram room large tidy maintain every day bed comfortable bed sparkle white mini bar iron iron board hairdryer clothesline bathroom shower towel change every day water coffee tea bring thank bilal service hear call prayer haram room special button wall breakfast buffetstyle something everyone wide selection seafood freshly prepare egg countless way cook dish always spicy least two soup choose countless sweet fruit pudding detox water etc staff extremely friendly helpful souvenir shop lobby overly expensive option buy copy quran staff take haram behalf desire guest warmly recommend hotel,"['stay', 'jabal', 'omar', 'marriott', 'hotel', 'midnovember', 'friends', 'bosnia', 'herzegovina', 'reason', 'perform', 'umrah', 'location', 'hotel', 'fantastic', 'minute', 'walk', 'kaaba', 'unable', 'walk', 'use', 'free', 'hotel', 'shuttle', 'hour', 'day', 'transportation', 'provide', 'small', 'bus', 'take', 'elevator', 'haram', 'small', 'open', 'car', 'drop', 'far', 'haram', 'room', 'large', 'tidy', 'maintain', 'every', 'day', 'bed', 'comfortable', 'bed', 'sparkle', 'white', 'mini', 'bar', 'iron', 'iron', 'board', 'hairdryer', 'clothesline', 'bathroom', 'shower', 'towel', 'change', 'every', 'day', 'water', 'coffee', 'tea', 'bring', 'thank', 'bilal', 'service', 'hear', 'call', 'prayer', 'haram', 'room', 'special', 'button', 'wall', 'breakfast', 'buffetstyle', 'something', 'everyone', 'wide', 'selection', 'seafood', 'freshly', 'prepare', 'egg', 'countless', 'way', 'cook', 'dish', 'always', 'spicy', 'least', 'two', 'soup', 'choose', 'countless', 'sweet', 'fruit', 'pudding', 'detox', 'water', 'etc', 'staff', 'extremely', 'friendly', 'helpful', 'souvenir', 'shop', 'lobby', 'overly', 'expensive', 'option', 'buy', 'copy', 'quran', 'staff', 'take', 'haram', 'behalf', 'desire', 'guest', 'warmly', 'recommend', 'hotel']"
