reviewer_name,review_date,review_content,lowercased,urls_removed,punctuation_removed,numbers_removed,extra_spaces_removed,stopwords_removed,lemmatized,tokenized
abu h,2/26/2026,"The hotel was wonderful, its location was lovely, and special thanks to Mr. Shawkat Ali and the laundry staff member Younis Anwarallah. They were very kind, professional, and respectful, displaying the highest moral character. May God protect them. Value Rooms Location Cleanliness Service Sleep Quality","the hotel was wonderful, its location was lovely, and special thanks to mr. shawkat ali and the laundry staff member younis anwarallah. they were very kind, professional, and respectful, displaying the highest moral character. may god protect them. value rooms location cleanliness service sleep quality","the hotel was wonderful, its location was lovely, and special thanks to mr. shawkat ali and the laundry staff member younis anwarallah. they were very kind, professional, and respectful, displaying the highest moral character. may god protect them. value rooms location cleanliness service sleep quality",the hotel was wonderful its location was lovely and special thanks to mr shawkat ali and the laundry staff member younis anwarallah they were very kind professional and respectful displaying the highest moral character may god protect them value rooms location cleanliness service sleep quality,the hotel was wonderful its location was lovely and special thanks to mr shawkat ali and the laundry staff member younis anwarallah they were very kind professional and respectful displaying the highest moral character may god protect them value rooms location cleanliness service sleep quality,the hotel was wonderful its location was lovely and special thanks to mr shawkat ali and the laundry staff member younis anwarallah they were very kind professional and respectful displaying the highest moral character may god protect them value rooms location cleanliness service sleep quality,hotel wonderful location lovely special thanks mr shawkat ali laundry staff member younis anwarallah kind professional respectful displaying highest moral character may god protect value rooms location cleanliness service sleep quality,hotel wonderful location lovely special thanks mr shawkat ali laundry staff member younis anwarallah kind professional respectful display high moral character may god protect value room location cleanliness service sleep quality,"['hotel', 'wonderful', 'location', 'lovely', 'special', 'thanks', 'mr', 'shawkat', 'ali', 'laundry', 'staff', 'member', 'younis', 'anwarallah', 'kind', 'professional', 'respectful', 'display', 'high', 'moral', 'character', 'may', 'god', 'protect', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
???? ?,2/26/2026,"Thank you for everything, especially the laundry store Mohamed Kamal Value Rooms Location Cleanliness Service Sleep Quality","thank you for everything, especially the laundry store mohamed kamal value rooms location cleanliness service sleep quality","thank you for everything, especially the laundry store mohamed kamal value rooms location cleanliness service sleep quality",thank you for everything especially the laundry store mohamed kamal value rooms location cleanliness service sleep quality,thank you for everything especially the laundry store mohamed kamal value rooms location cleanliness service sleep quality,thank you for everything especially the laundry store mohamed kamal value rooms location cleanliness service sleep quality,thank everything especially laundry store mohamed kamal value rooms location cleanliness service sleep quality,thank everything especially laundry store mohamed kamal value room location cleanliness service sleep quality,"['thank', 'everything', 'especially', 'laundry', 'store', 'mohamed', 'kamal', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
Nayef B,2/26/2026,"Excellent service, put some snacks for the guests Value Rooms Location Cleanliness Service Sleep Quality","excellent service, put some snacks for the guests value rooms location cleanliness service sleep quality","excellent service, put some snacks for the guests value rooms location cleanliness service sleep quality",excellent service put some snacks for the guests value rooms location cleanliness service sleep quality,excellent service put some snacks for the guests value rooms location cleanliness service sleep quality,excellent service put some snacks for the guests value rooms location cleanliness service sleep quality,excellent service put snacks guests value rooms location cleanliness service sleep quality,excellent service put snack guest value room location cleanliness service sleep quality,"['excellent', 'service', 'put', 'snack', 'guest', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
Mohammed A,2/26/2026,"Murray Anur laundry... a decent man fast on his job, top-notch in handling. Good luck honeyman","murray anur laundry... a decent man fast on his job, top-notch in handling. good luck honeyman","murray anur laundry... a decent man fast on his job, top-notch in handling. good luck honeyman",murray anur laundry a decent man fast on his job topnotch in handling good luck honeyman,murray anur laundry a decent man fast on his job topnotch in handling good luck honeyman,murray anur laundry a decent man fast on his job topnotch in handling good luck honeyman,murray anur laundry decent man fast job topnotch handling good luck honeyman,murray anur laundry decent man fast job topnotch handle good luck honeyman,"['murray', 'anur', 'laundry', 'decent', 'man', 'fast', 'job', 'topnotch', 'handle', 'good', 'luck', 'honeyman']"
Ahmed N,2/26/2026,The service is good . . . . . . . . .,the service is good . . . . . . . . .,the service is good . . . . . . . . .,the service is good         ,the service is good         ,the service is good,service good,service good,"['service', 'good']"
Abe A,2/26/2026,Marwan Anwar did the laundry perfectly professionally very understanding kind man gave me a discount on my first laundry purchase. He was very kind and nice ??. May Allah bless you brother ameen.,marwan anwar did the laundry perfectly professionally very understanding kind man gave me a discount on my first laundry purchase. he was very kind and nice ??. may allah bless you brother ameen.,marwan anwar did the laundry perfectly professionally very understanding kind man gave me a discount on my first laundry purchase. he was very kind and nice ??. may allah bless you brother ameen.,marwan anwar did the laundry perfectly professionally very understanding kind man gave me a discount on my first laundry purchase he was very kind and nice ?? may allah bless you brother ameen,marwan anwar did the laundry perfectly professionally very understanding kind man gave me a discount on my first laundry purchase he was very kind and nice ?? may allah bless you brother ameen,marwan anwar did the laundry perfectly professionally very understanding kind man gave me a discount on my first laundry purchase he was very kind and nice ?? may allah bless you brother ameen,marwan anwar laundry perfectly professionally understanding kind man gave discount first laundry purchase kind nice ?? may allah bless brother ameen,marwan anwar laundry perfectly professionally understanding kind man give discount first laundry purchase kind nice ?? may allah bless brother ameen,"['marwan', 'anwar', 'laundry', 'perfectly', 'professionally', 'understanding', 'kind', 'man', 'give', 'discount', 'first', 'laundry', 'purchase', 'kind', 'nice', '??', 'may', 'allah', 'bless', 'brother', 'ameen']"
Mohamad D,2/26/2026,Youns Anwar Allah in room service was really excellent The hotel is in an excellent location near the entrance to the camp and the expansion entrance of the shelf very large fast breakfast customer service in Ramadan many configurations leave you openly refreshed Value Rooms Location Cleanliness Service Sleep Quality,youns anwar allah in room service was really excellent the hotel is in an excellent location near the entrance to the camp and the expansion entrance of the shelf very large fast breakfast customer service in ramadan many configurations leave you openly refreshed value rooms location cleanliness service sleep quality,youns anwar allah in room service was really excellent the hotel is in an excellent location near the entrance to the camp and the expansion entrance of the shelf very large fast breakfast customer service in ramadan many configurations leave you openly refreshed value rooms location cleanliness service sleep quality,youns anwar allah in room service was really excellent the hotel is in an excellent location near the entrance to the camp and the expansion entrance of the shelf very large fast breakfast customer service in ramadan many configurations leave you openly refreshed value rooms location cleanliness service sleep quality,youns anwar allah in room service was really excellent the hotel is in an excellent location near the entrance to the camp and the expansion entrance of the shelf very large fast breakfast customer service in ramadan many configurations leave you openly refreshed value rooms location cleanliness service sleep quality,youns anwar allah in room service was really excellent the hotel is in an excellent location near the entrance to the camp and the expansion entrance of the shelf very large fast breakfast customer service in ramadan many configurations leave you openly refreshed value rooms location cleanliness service sleep quality,youns anwar allah room service really excellent hotel excellent location near entrance camp expansion entrance shelf large fast breakfast customer service ramadan many configurations leave openly refreshed value rooms location cleanliness service sleep quality,youns anwar allah room service really excellent hotel excellent location near entrance camp expansion entrance shelf large fast breakfast customer service ramadan many configuration leave openly refresh value room location cleanliness service sleep quality,"['youns', 'anwar', 'allah', 'room', 'service', 'really', 'excellent', 'hotel', 'excellent', 'location', 'near', 'entrance', 'camp', 'expansion', 'entrance', 'shelf', 'large', 'fast', 'breakfast', 'customer', 'service', 'ramadan', 'many', 'configuration', 'leave', 'openly', 'refresh', 'value', 'room', 'location', 'cleanliness', 'service', 'sleep', 'quality']"
Faisal A,2/26/2026,Murray Annour Honest Staff Laundry Officer Quick Service,murray annour honest staff laundry officer quick service,murray annour honest staff laundry officer quick service,murray annour honest staff laundry officer quick service,murray annour honest staff laundry officer quick service,murray annour honest staff laundry officer quick service,murray annour honest staff laundry officer quick service,murray annour honest staff laundry officer quick service,"['murray', 'annour', 'honest', 'staff', 'laundry', 'officer', 'quick', 'service']"
Shooq q,2/26/2026,"Lovely hotel, very good staff and a close mention of Staff Mohamed for his pleasant room service. Thank you and your gentlemen","lovely hotel, very good staff and a close mention of staff mohamed for his pleasant room service. thank you and your gentlemen","lovely hotel, very good staff and a close mention of staff mohamed for his pleasant room service. thank you and your gentlemen",lovely hotel very good staff and a close mention of staff mohamed for his pleasant room service thank you and your gentlemen,lovely hotel very good staff and a close mention of staff mohamed for his pleasant room service thank you and your gentlemen,lovely hotel very good staff and a close mention of staff mohamed for his pleasant room service thank you and your gentlemen,lovely hotel good staff close mention staff mohamed pleasant room service thank gentlemen,lovely hotel good staff close mention staff mohamed pleasant room service thank gentleman,"['lovely', 'hotel', 'good', 'staff', 'close', 'mention', 'staff', 'mohamed', 'pleasant', 'room', 'service', 'thank', 'gentleman']"
Ahlam A,2/26/2026,"Great accommodation and excellent service A special thanks to Anouar from Laundry for his quick, efficient and outstanding service His expertise was crucial","great accommodation and excellent service a special thanks to anouar from laundry for his quick, efficient and outstanding service his expertise was crucial","great accommodation and excellent service a special thanks to anouar from laundry for his quick, efficient and outstanding service his expertise was crucial",great accommodation and excellent service a special thanks to anouar from laundry for his quick efficient and outstanding service his expertise was crucial,great accommodation and excellent service a special thanks to anouar from laundry for his quick efficient and outstanding service his expertise was crucial,great accommodation and excellent service a special thanks to anouar from laundry for his quick efficient and outstanding service his expertise was crucial,great accommodation excellent service special thanks anouar laundry quick efficient outstanding service expertise crucial,great accommodation excellent service special thanks anouar laundry quick efficient outstanding service expertise crucial,"['great', 'accommodation', 'excellent', 'service', 'special', 'thanks', 'anouar', 'laundry', 'quick', 'efficient', 'outstanding', 'service', 'expertise', 'crucial']"
